-141188	К	Ковальчук Михайло	Михайло		Ковальчук	
-141187	С	Степенькіна Парасковія	Парасковія		Степенькіна	
-141186	Ч	Чабан Анатолій	Анатолій		Чабан	
-141173	Я	Ягоджинська Ніна	Ніна		Ягоджинська	
-141172	С	Свобода Е.	Е.		Свобода	
-141171	В	Веніг А.	А.		Веніг	
-141170	З	Захар Д.	Д.		Захар	
-141169	Г	Грушка Ів.	Ів.		Грушка	
-141168	В	Вулф Александра	Александра		Вулф	
-141095	С	Скреттінґ Ґюдрун	Ґюдрун		Скреттінґ	
-140820	А	Алексін Анатолій	Анатолій		Алексін	
-140595	С	Стіл Даніела	Даніела		Стіл	
-140589	І	Ірися Ликович	Ликович		Ірися	
-140441	Ґ	Ґарсіа Маркес Ґабріель	Ґабріель		Ґарсіа Маркес	
-140236	Я	Яґелло Йоанна	Йоанна		Яґелло	
-140235	П	Пагутяк Галина Василівна	Галина	Василівна	Пагутяк	
-140226	С	Сапковський	Сапковський			
-140134	В	Винничук Юрий	Юрий		Винничук	
-138952	П	Паливода Василь	Василь		Паливода	
-138919	В	Вятрович Володимир	Володимир		Вятрович	
-138918	В	В’ЯТРОВИЧ ВОЛОДИМИР	ВОЛОДИМИР		В’ЯТРОВИЧ	
-138873	Ш	Штендера Ярослав	Ярослав		Штендера	
-138852	А	Анджей Сапковський	Сапковський		Анджей	
-138797	A	ADMIN			ADMIN	
-138796	К	Кузьмин Марк Геннадьевич	Марк Геннадьевич		Кузьмин	
-138470	Р	Распе Рудольф Еріх	Рудольф	Еріх	Распе	
-138418	У	України Верховна Рада	Верховна	Рада	України	
-138417	У	України Нацiональний Банк	Нацiональний Банк		України	
-138210	Г	Герасименко Юрiй	Юрiй		Герасименко	
-138063	Д	Дубинянська Яна	Яна		Дубинянська	
-138062	Р	Роздобудько Ірен Віталіївна	Ірен	Віталіївна	Роздобудько	
-138025	Д	Дік Філіп Кіндрет	Філіп Кіндрет		Дік	
-137907	М	Мак’явеллі Ніколо	Ніколо		Мак’явеллі	
-137850	Х	Ханімен Ґейл	Ґейл		Ханімен	
-137849	Б	Баткіліна Юлія	Юлія		Баткіліна	
-137848	М	Микицей Марія	Марія		Микицей	
-137842	К	Кохан Стано	Стано		Кохан	
-137832	П	Пру Сюзанна	Сюзанна		Пру	
-137831	Б	Бакулін Олег	Олег		Бакулін	
-137830	П	Пахомова Тетяна Романівна	Тетяна	Романівна	Пахомова	
-137579	Л	Леґардіньє Жіль	Жіль		Леґардіньє	
-137345	І	Ірвінг Вашингтон	Вашингтон		Ірвінг	
-137171	Д	Джадт Тоні	Тоні		Джадт	
-137096	П	Петухова Ксенія	Ксенія		Петухова	
-136860	К	Красовицький Олександр	Олександр		Красовицький	
-136859	Б	Бура Дар’я	Дар’я		Бура	
-136848	О	О’Дохерти П.	П.		О’Дохерти	
-136847	О	О’Дохерти Йенсен К.	К.		О’Дохерти Йенсен	
-136769	Ґ	Ґелліко Пол	Пол		Ґелліко	
-136758	С	Снайдер Тімоті	Тімоті		Снайдер	
-136747	M	missio			missio	
-136744	Р	Рей Бредбері	Рей Бредбері			
-136661	К	КОСТЕНКО ЛІНА	ЛІНА		КОСТЕНКО	
-136561	Г	Гладун Ярослав	Ярослав		Гладун	
-136530	А	Амосов Микола Михайлович	Микола	Михайлович	Амосов	
-136213	Е	Енґлунд Петер	Петер		Енґлунд	
-136167	А	Акунін Борис	Борис		Акунін	
-136162	Г	Гельд Вольфганг	Вольфганг		Гельд	
-136124	Г	Геддон Марк	Марк		Геддон	
-136091	Ф	Фройд Зиґмунд	Зиґмунд		Фройд	
-136067	Ї	Їрасек Алойс	Алойс		Їрасек	
-136061	В	Вайсман Еллен Марі	Еллен Марі		Вайсман	
-135966	С	Стеблівський Євген	Євген		Стеблівський	
-135847	С	Савчин Олексій Макарович	Олексій	Макарович	Савчин	
-135846	С	Савчин Алексей	Алексей		Савчин	
-135827	І	Ібсен Генрік	Генрік		Ібсен	
-135713	З	Зборовська Ніла	Ніла		Зборовська	
-135712	П	Павличко Соломія	Соломія		Павличко	
-135624	К	Кидрук Максим Иванович	Максим	Иванович	Кидрук	
-135447	С	Стецько Ярослав	Ярослав		Стецько	
-135440	П	Покальчук Юрій	Юрій		Покальчук	
-135396	О	Островський Олелько	Олелько		Островський	
-135395	М	Мачтет Григорій	Григорій		Мачтет	
-135394	М	Мордовець Данило	Данило		Мордовець	
-135393	Б	Божко Сава	Сава		Божко	
-135390	М	Микитась Василь Лазарович	Василь	Лазарович	Микитась	
-135263	С	Скрипник Олександр Васильович	Олександр	Васильович	Скрипник	
-135156	Л	Лоцький Юра	Юра		Лоцький	
-135155	К	Киян Валія	Валія		Киян	
-135092	Г	Грицак Ярослав Йосипович	Ярослав	Йосипович	Грицак	
-135029	Т	Тендюк Леонид Михайлович	Леонид	Михайлович	Тендюк	
-135018	Д	Дмитриев В.	В.		Дмитриев	
-135012	К	Кері Джойс	Джойс		Кері	
-135004	Л	Лапикура Наталья	Наталья		Лапикура	
-135003	Л	Лапикура Валерий	Валерий		Лапикура	
-135002	Л	Лапікура Наталія Павлович	Наталія	Павлович	Лапікура	
-135001	Л	Лапікура Валерій Михайловна	Валерій	Михайловна	Лапікура	
-134953	Ч	Чумак Иван Владимирович	Иван	Владимирович	Чумак	
-134952	В	Выходец Давид Игоревич	Давид	Игоревич	Выходец	
-134942	В	Венс Джек	Джек		Венс	
-134700	С	Самбук Ростислав Фесеевич	Ростислав	Фесеевич	Самбук	
-134699	Р	Рони Жозеф	Жозеф		Рони	
-134662	П	Подобна Євгенія	Євгенія		Подобна	
-134642	Ш	Шишко Олександр	Олександр		Шишко	
-134641	М	Маслійчук Володимир	Володимир		Маслійчук	
-134640	М	Максим Андрій	Андрій		Максим	
-134639	Д	Домановський Андрій	Андрій		Домановський	
-134638	Д	Діанова Наталя	Наталя		Діанова	
-134637	Г	Грибовський Владислав	Владислав		Грибовський	
-134636	В	Вінцковський Тарас	Тарас		Вінцковський	
-134635	Б	Бачинська Олена	Олена		Бачинська	
-134634	З	Зімбардо Філіп	Філіп		Зімбардо	
-134589	К	Кійовський Анджей	Анджей		Кійовський	
-134588	Г	Гомбрович Вітольд	Вітольд		Гомбрович	
-134587	Б	Беньковська Єва	Єва		Беньковська	
-134586	В	Вернер Анджей	Анджей		Вернер	
-134585	Ґ	Ґловінський Міхал	Міхал		Ґловінський	
-134584	Я	Яніон Марія	Марія		Яніон	
-134583	К	Колаковський Лєшек	Лєшек		Колаковський	
-134582	С	Сосновська Данута	Данута		Сосновська	
-134581	Б	Болєцький Влодзимєж	Влодзимєж		Болєцький	
-134580	Г	Герберт Збігнев	Збігнев		Герберт	
-134579	В	Ват Александер	Александер		Ват	
-134578	М	Мілош Чеслав	Чеслав		Мілош	
-134514	Ч	Черчович Іванна	Іванна		Черчович	
-134513	С	Стяжкіна Олена	Олена		Стяжкіна	
-134512	К	Кобченко Катерина	Катерина		Кобченко	
-134511	Д	Дядюк Мирослава	Мирослава		Дядюк	
-134510	Г	Гавришко Марта	Марта		Гавришко	
-134509	В	Вороніна Марина	Марина		Вороніна	
-134508	Б	Бежук Ольга	Ольга		Бежук	
-134507	Б	Байдак Мар’яна	Мар’яна		Байдак	
-134506	К	Кісь Оксана	Оксана		Кісь	
-134505	K	Kacapec Адольфо Бйой	Адольфо	Бйой	Kacapec	
